lccn,issn,notes and questions,objectid,pres_file,display_template,parentid,object_location,filename,image_small,image_thumb,object_pdf,title,"note (marc 521, 550)african americans|http://id.worldcat.org/fast/799558",publisher,publisher_uri,frequency,issuance_start,issuance_end,rightsstatement,rights,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,image_alt_text,contributing_institution,contributing_institution_uri,collectionid,type,format,language,creator,contributor,date,description,disclaimer,extent,genre,genre_uri,subject,subject_uri,location,location_uri,latitude,longitude,coordinates,chronological_subject,ark,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
sn83025186,,,bystander1894072001,,complex,,,1894072001_0025.jp2,1894072001_0025_sm.jp2,1894072001_0025_th.jp2,1894072001.pdf,"Iowa State Bystander. volume 01, number 07, July 20, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-07-20,"Contents include but are not limited to fashion, the miliatry, American Railway Union, enviornmental news and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; Fashion; Women's clothing; Military occupation; Advertising--Men's clothing; American Railway Union; Iowa. National Guard; Mississippi; United States. Congress; Forest fires--Prevention and control; Utah,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/921600; http://id.worldcat.org/fast/1178707; http://id.worldcat.org/fast/1021341; http://id.worldcat.org/fast/1765344; http://id.worldcat.org/fast/637681; http://id.worldcat.org/fast/659225; http://id.worldcat.org/fast/1207034; http://id.worldcat.org/fast/529490; http://id.worldcat.org/fast/932156; http://id.worldcat.org/fast/1204563,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894072001i1,,child,bystander1894072001,,1894072001_0025.jp2,1894072001_0025_sm.jp2,1894072001_0025_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894072001i2,,child,bystander1894072001,,1894072001_0026.jp2,1894072001_0026_sm.jp2,1894072001_0026_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894072001i3,,child,bystander1894072001,,1894072001_0027.jp2,1894072001_0027_sm.jp2,1894072001_0027_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894072001i4,,child,bystander1894072001,,1894072001_0028.jp2,1894072001_0028_sm.jp2,1894072001_0028_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,,,bystander1894072701,,complex,,,1894072701_0029.jp2,1894072701_0029_sm.jp2,1894072701_0029_th.jp2,1894072701.pdf,"Iowa State Bystander. volume 01, number 08, July 27, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-07-27,"Contents include but are not limited to African American Veterans, Archeticture, Hawaii, fires and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; African American veterans; African American architecture; Hawaii; United States. Congress; Fires; Arctic Regions,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/799431; http://id.worldcat.org/fast/799011; http://id.worldcat.org/fast/1208724; http://id.worldcat.org/fast/529490; http://id.worldcat.org/fast/925697; http://id.worldcat.org/fast/1240227,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894072701i1,,child,bystander1894072701,,1894072701_0029.jp2,1894072701_0029_sm.jp2,1894072701_0029_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894072701i2,,child,bystander1894072701,,1894072701_0030.jp2,1894072701_0030_sm.jp2,1894072701_0030_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894072701i3,,child,bystander1894072701,,1894072701_0031.jp2,1894072701_0031_sm.jp2,1894072701_0031_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894072701i4,,child,bystander1894072701,,1894072701_0032.jp2,1894072701_0032_sm.jp2,1894072701_0032_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,,,bystander1894080301,,complex,,,1894080301_0033.jp2,1894080301_0033_sm.jp2,1894080301_0033_th.jp2,1894080301.pdf,"Iowa State Bystander. volume 01, number 09, August 3, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-08-03,"Contents include but are not limited to fashion, agriculture, fires, and Sino-Japanese War and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,"African Americans; Black people; Fashion; Agriculture; African American police; Sino-Japanese War; Fires; Cataract; North America--Niagara Falls; Twain, Mark, 1835-1910","http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/921600; http://id.worldcat.org/fast/801355; http://id.worldcat.org/fast/799305; http://id.worldcat.org/fast/1431381; http://id.worldcat.org/fast/925697; http://id.worldcat.org/fast/848897; http://id.worldcat.org/fast/1310254; ; ; http://id.worldcat.org/fast/31622""",Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894080301i1,,child,bystander1894080301,,1894080301_0033.jp2,1894080301_0033_sm.jp2,1894080301_0033_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894080301i2,,child,bystander1894080301,,1894080301_0034.jp2,1894080301_0034_sm.jp2,1894080301_0034_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894080301i3,,child,bystander1894080301,,1894080301_0035.jp2,1894080301_0035_sm.jp2,1894080301_0035_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894080301i4,,child,bystander1894080301,,1894080301_0036.jp2,1894080301_0036_sm.jp2,1894080301_0036_th.jp2,,Page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sn83025186,,,bystander1894081001,,complex,,,1894081001_0037.jp2,1894081001_0037_sm.jp2,1894081001_0037_th.jp2,1894081001.pdf,"Iowa State Bystander. volume 01, number 10, August 10, 1894",,"Des Moines, Iowa : Iowa State Bystander Pub. Co.",,Weekly,1894,1916,http://rightsstatements.org/vocab/NoC-US/1.0/,No Copyright - United States,,,,,,,,abvi,Text;Still Image,image/jpeg,eng,,"Ruff, Charles S.;Ruff, Thaddeus S.;Thompson, John L. (John Lay), 1869-1930",1894-08-10,"Contents include but are not limited to the Iowa State Fair, Emancipation Day, weather, the Sino-Japanese War, Keokuk, Iowa and and other topics.",,4 pages,Newspapers,http://vocab.getty.edu/aat/300026656,African Americans; Black people; Iowa State Fair; Iowa--Keokuk; Enslaved persons--Emancipation; Weather; Agriculture; Sino-Japanese War; Science,http://id.worldcat.org/fast/799558; http://id.worldcat.org/fast/833880; http://id.worldcat.org/fast/1409409; http://id.worldcat.org/fast/1206704; http://id.worldcat.org/fast/1120540; http://id.worldcat.org/fast/1173087; http://id.worldcat.org/fast/801355; http://id.worldcat.org/fast/1431381; http://id.worldcat.org/fast/1108176,Iowa--Des Moines,http://id.worldcat.org/fast/1205836,41.60054,-93.60911,"41.60054,-93.60911",1890s,,,,,,,
,,,bystander1894081001i1,,child,bystander1894081001,,1894081001_0037.jp2,1894081001_0037_sm.jp2,1894081001_0037_th.jp2,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894081001i2,,child,bystander1894081001,,1894081001_0038.jp2,1894081001_0038_sm.jp2,1894081001_0038_th.jp2,,Page 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,bystander1894081001i3,,child,bystander1894081001,,1894081001_0039.jp2,1894081001_0039_sm.jp2,1894081001_0039_th.jp2,,Page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
